Sep = ,
"Delimiter = ,"
AethLabs
Device ID = AE51-S2-358-1012
Application version = 2.2.4.0
Flow = 99 ml/min
Timebase = 60 s
Start date = 2020/01/23
Start time = 10:52:00
Original date format = yyyy/MM/dd
Original time format = hh:mm:ss
Flow units = ml/min
PCB temp units = deg C
Battery units = %
BC units = ng/m^3

Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC
2020/01/23,15:30:00,909097,571598,"46.402",99,34,0,100,4023
2020/01/23,15:31:00,909055,571181,"46.470",99,34,0,100,3922
2020/01/23,15:32:00,909008,570840,"46.524",99,34,0,100,3130
2020/01/23,15:33:00,908824,570396,"46.582",99,34,0,100,3303
2020/01/23,15:34:00,908886,570129,"46.636",99,34,0,100,3078
2020/01/23,15:35:00,908845,569800,"46.689",99,34,0,100,3053
2020/01/23,15:36:00,908925,569527,"46.746",99,34,0,100,3255
2020/01/23,15:37:00,908995,568582,"46.919",99,34,0,100,9970
2020/01/23,15:38:00,908920,568163,"46.985",99,34,0,100,3756
2020/01/23,15:39:00,908811,567698,"47.055",99,35,0,100,4009
2020/01/23,15:40:00,908844,567024,"47.177",99,35,0,100,7024
2020/01/23,15:41:00,908782,566413,"47.278",99,35,0,100,5794
2020/01/23,15:42:00,908731,565957,"47.353",99,35,0,100,4299
2020/01/23,15:43:00,908790,565401,"47.458",99,35,0,100,6012
2020/01/23,15:44:00,908699,564944,"47.529",99,35,0,100,4065
2020/01/23,15:45:00,908709,564498,"47.609",99,35,0,100,4594
2020/01/23,15:46:00,908679,563924,"47.707",99,35,0,100,5648
2020/01/23,15:47:00,908742,563084,"47.863",99,35,0,100,8950
2020/01/23,15:48:00,908633,562667,"47.925",99,35,0,100,3562
2020/01/23,15:49:00,908690,562311,"47.995",99,35,0,100,3991
2020/01/23,15:50:00,908681,561963,"48.056",99,35,0,100,3495
2020/01/23,15:51:00,908621,561235,"48.179",99,35,0,100,7059
2020/01/23,15:52:00,908577,560708,"48.268",99,35,0,100,5112
2020/01/23,15:53:00,908562,560304,"48.338",99,35,0,100,4041
2020/01/23,15:54:00,908574,559859,"48.419",100,35,0,100,4588
2020/01/23,15:55:00,908543,559419,"48.494",100,35,0,100,4272
2020/01/23,15:56:00,908484,559046,"48.555",99,35,0,100,3454
2020/01/23,15:57:00,908498,558710,"48.616",100,35,0,100,3502
2020/01/23,15:58:00,908406,558321,"48.676",99,35,0,100,3415
2020/01/23,15:59:00,908420,558037,"48.728",99,35,0,100,3008
2020/01/23,16:00:00,908470,557803,"48.776",99,35,0,100,2722
2020/01/23,16:01:00,908274,557414,"48.824",99,35,0,100,2765
2020/01/23,16:02:00,908277,556896,"48.917",100,35,0,100,5300
2020/01/23,16:03:00,908242,556563,"48.973",100,35,0,100,3179
2020/01/23,16:04:00,908235,556251,"49.028",99,35,0,100,3173
2020/01/23,16:05:00,908142,555884,"49.084",99,35,0,100,3199
2020/01/23,16:06:00,908197,555620,"49.138",99,35,0,100,3073
2020/01/23,16:07:00,908141,555286,"49.192",99,35,0,100,3096
2020/01/23,16:08:00,908135,554430,"49.345",99,36,0,100,8813
2020/01/23,16:09:00,908141,554107,"49.404",100,36,0,100,3348
2020/01/23,16:10:00,908168,553815,"49.460",99,36,0,100,3195
2020/01/23,16:11:00,908081,552801,"49.634",99,36,0,100,9965
2020/01/23,16:12:00,908114,552158,"49.754",99,36,0,100,6886
2020/01/23,16:13:00,908044,551666,"49.835",99,36,0,100,4672
2020/01/23,16:14:00,908084,551220,"49.920",99,36,0,100,4893
2020/01/23,16:15:00,908051,550848,"49.984",99,36,0,100,3665
2020/01/23,16:16:00,908011,550342,"50.072",99,36,0,100,5020
2020/01/23,16:17:00,908103,549835,"50.174",99,36,0,100,5869
2020/01/23,16:18:00,908056,548874,"50.344",99,36,0,100,9740
2020/01/23,16:19:00,908019,548399,"50.426",99,36,0,100,4734
